row_id,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_excessive_drinking,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__homicides_per_100k,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr
0,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.408,0.057,0.254,0.066,0.516,0.235,0.176,0.109,0.039,0.829,0.004,0.011,0.1942231075697211,0.4243027888446215,0.22709163346613548,0.15438247011952191,12.0,12.0,0.297,0.23,0.131,0.089,,0.332,13.0,2.8,15.09,1650.0,1489.0,a
1,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Mining-dependent,0.556,0.039,0.26,0.143,0.503,0.272,0.101,0.41,0.07,0.493,0.008,0.015,0.1641337386018237,0.23404255319148934,0.342451874366768,0.2593718338399189,19.0,7.0,0.288,0.19,0.09,0.082,0.181,0.265,10.0,2.3,19.79,2010.0,2480.0,a
4,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.541,0.057,0.07,0.023,0.522,0.179,0.115,0.202,0.198,0.479,0.013,0.085,0.15857284440039643,0.23785926660059462,0.18632309217046578,0.41724479682854304,12.0,6.0,0.212,0.156,0.084,0.098,0.195,0.209,10.0,9.31,3.1399999999999997,629.0,690.0,b
5,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.5,0.061,0.203,0.059,0.525,0.2,0.164,0.013,0.049,0.897,0.007,0.001,0.18163672654690619,0.40718562874251496,0.24850299401197604,0.1626746506986028,11.0,12.0,0.285,,0.104,0.058,,0.238,13.0,,,1810.0,6630.0,b
6,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.471,0.05,0.225,0.103,0.511,0.237,0.171,0.025,0.008,0.953,0.003,0.0,0.12236710130391172,0.4132397191574724,0.30692076228686055,0.15747241725175526,14.0,12.0,0.284,0.234,0.137,0.07,0.194,0.29,9.0,,29.39,3489.0,2590.0,a
8,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Federal/State government-dependent,0.501,0.048,0.212,0.055,0.516,0.207,0.121,0.022,0.046,0.903,0.002,0.006,0.1377551020408163,0.2948979591836734,0.28061224489795916,0.286734693877551,11.0,8.0,0.283,0.22,0.112,0.089,0.067,0.272,13.0,3.8,13.74,2439.0,1540.0,a
10,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.462,0.088,0.18,0.039,0.507,0.221,0.167,0.034,0.002,0.942,0.004,0.0,0.10987903225806452,0.4254032258064516,0.32661290322580644,0.13810483870967744,10.0,10.0,0.305,0.205,0.11,0.07,0.193,0.282,12.0,,18.55,3100.0,3689.0,b
11,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.425,0.077,0.252,0.079,0.499,0.247,0.134,0.053,0.224,0.681,0.004,0.023,0.12286002014098692,0.3152064451158107,0.36455186304128906,0.19738167170191342,12.0,10.0,0.317,0.264,0.131,0.092,0.13,0.277,13.0,5.6,22.27,2800.0,1790.0,a
14,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.313,0.111,0.275,0.063,0.473,0.248,0.11,0.015,0.719,0.257,0.008,0.005,0.29213483146067415,0.278855975485189,0.2870275791624107,0.14198161389172625,12.0,10.0,0.417,0.208,0.127,0.139,0.106,0.373,12.0,13.6,22.78,3990.0,3549.0,a
15,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.371,0.044,0.241,0.11,0.489,0.347,0.121,0.014,0.0,0.426,0.546,0.004,0.1536945812807882,0.32315270935960594,0.374384236453202,0.14876847290640394,21.0,10.0,0.332,0.341,0.101,0.073,0.214,0.333,9.0,,63.150000000000006,,,a
